Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,null,57118917,Federal Funds:,null,null,null,null,null,null,6d,1,1,8000,S,FT,1,1,2025,4,2025,3,09,30
2025-09-30,57118917,57118939,Department of Agriculture,null,23864484.95,111540830.52,384914308.60,408778793.55,408778793.55,6d,2,2,8001,D,C,2,1.1,2025,4,2025,3,09,30
2025-09-30,57118917,57118943,Department of Commerce,-2369561.42,null,null,null,2369561.42,null,6d,3,3,8002,D,C,2,1.2,2025,4,2025,3,09,30
2025-09-30,57118917,57118946,Department of Defense--Military Programs:,null,null,null,null,null,null,6d,4,4,8003,S,C,2,1.3,2025,4,2025,3,09,30
2025-09-30,57119126,57119132,Federal Deposit Insurance Corporation:,null,null,null,null,null,null,6d,32,32,8053,S,A,3,1.18.1,2025,4,2025,3,09,30
2025-09-30,57119132,57119135,Deposit Insurance Fund,10768237000.00,31601788000.00,4651881000.00,88949830000.00,109783381000.00,120551618000.00,6d,33,33,8054,D,P,4,1.18.1.1,2025,4,2025,3,09,30
2025-09-30,57119126,57119174,Other,null,null,null,null,null,null,6d,38,38,8063,S,A,3,1.18.5,2025,4,2025,3,09,30
2025-09-30,57119241,57119245,Federal Supplementary Medical Insurance Trust Fund,28779499000.00,-10568321000.00,4875015000.00,164412218000.00,125064398000.00,153843897000.00,6d,55,55,8161,D,P,3,2.5.1,2025,4,2025,3,09,30
2025-09-30,57119205,57119280,Department of Transportation:,null,null,null,null,null,null,6d,65,65,8335,S,C,2,2.10,2025,4,2025,3,09,30
2025-09-30,57119205,57119274,Department of State:,null,null,null,null,null,null,6d,62,62,8322,S,C,2,2.9,2025,4,2025,3,09,30
