Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57118401,57118409,Rural Telephone Bank,null,-14364072.00,-126500.00,56469977.00,42105905.00,42105905.00,6c,22,22,5650,D,P,4,1.1.5.3,2025,4,2025,3,09,30
2025-09-30,57118456,57118466,Teach Grant Loans,1583524.49,52285897.64,-4806136.54,575963486.59,626665859.74,628249384.23,6c,36,36,5795,D,P,3,1.4.4,2025,4,2025,3,09,30
2025-09-30,57118902,57118910,Housing Programs:,null,null,null,null,null,null,6c,124,124,12045,S,B,3,2.5.1,2025,4,2025,3,09,30
2025-09-30,57118745,57119223,Total Borrowing from the Federal Financing Bank,468235108.65,33136802198.36,45881410314.72,184616472911.56,217285040001.27,217753275109.92,6c,141,141,6980,T,BL,2,2.11,2025,4,2025,3,09,30
2025-09-30,57118361,57118419,Department of Commerce:,null,null,null,null,null,null,6c,25,25,5690,S,C,2,1.2,2025,4,2025,3,09,30
2025-09-30,57118745,57118747,Department of Agriculture:,null,null,null,null,null,null,6c,113,113,6600,S,C,2,2.1,2025,4,2025,3,09,30
2025-09-30,57118879,57118892,Health Maintenance Organization Loan and Loan Guarantee Fund,null,null,null,-57511.10,-57511.10,-57511.10,6c,122,122,6770,D,P,3,2.4.1,2025,4,2025,3,09,30
2025-09-30,57118745,57118902,Department of Housing and Urban Development:,null,null,null,null,null,null,6c,123,123,6780,S,C,2,2.5,2025,4,2025,3,09,30
2025-09-30,57118910,57118914,Federal Housing Administration,304369514.32,312567097.81,23201581.72,2823110451.61,2831308035.10,3135677549.42,6c,125,125,6805,D,P,4,2.5.1.1,2025,4,2025,3,09,30
2025-09-30,57118745,57118962,Department of Transportation:,null,null,null,null,null,null,6c,126,126,6830,S,C,2,2.6,2025,4,2025,3,09,30
