Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57117989,57117994,Federal Communications Commission ,null,null,null,-0.01,-0.01,-0.01,6b,9,9,7037,D,SG,4,1.2.2.1,2025,4,2025,3,09,30
2025-09-30,57117989,57117998,National Archives and Records Administration,null,null,null,0.50,0.50,0.50,6b,10,10,7040,D,SG,4,1.2.2.2,2025,4,2025,3,09,30
2025-09-30,57117989,57118002,Tennessee Valley Authority,-250000000.00,1809912825.00,714019011.00,20246886894.00,22306799719.00,22056799719.00,6b,11,11,7050,D,SG,4,1.2.2.3,2025,4,2025,3,09,30
2025-09-30,57117946,57118007,Total Agency Securities,-250000000.00,1809912825.00,697739023.00,20265428152.26,22325340977.26,22075340977.26,6b,12,12,7055,T,SL,2,1.3,2025,4,2025,3,09,30
2025-09-30,null,57117946,"Agency Securities, Issued Under Special Financing Authorities:",null,null,null,null,null,null,6b,1,1,6997,S,SL,1,1,2025,4,2025,3,09,30
2025-09-30,57117946,57117953,"Obligations Guaranteed by the United States, Issued By:",null,null,null,null,null,null,6b,2,2,7005,S,SL,2,1.1,2025,4,2025,3,09,30
2025-09-30,57117953,57117961,Department of Housing and Urban Development:,null,null,null,null,null,null,6b,3,3,7009,S,C,3,1.1.1,2025,4,2025,3,09,30
2025-09-30,57117961,57117966,Federal Housing Administration,null,null,null,18541264.77,18541264.77,18541264.77,6b,4,4,7010,D,SG,4,1.1.1.1,2025,4,2025,3,09,30
2025-09-30,57117946,57117970,"Obligations Not Guaranteed by the United States, Issued By:",null,null,null,null,null,null,6b,5,5,7018,S,SL,2,1.2,2025,4,2025,3,09,30
2025-09-30,57117970,57117981,Legislative Branch:,null,null,null,null,null,null,6b,6,6,7019,S,C,3,1.2.1,2025,4,2025,3,09,30
2025-09-30,57117981,57117985,Architect of the Capitol,null,null,-16279988.00,-7.00,-7.00,-7.00,6b,7,7,7020,D,SG,4,1.2.1.1,2025,4,2025,3,09,30
2025-09-30,57117970,57117989,Independent Agencies:,null,null,null,null,null,null,6b,8,8,7028,S,C,3,1.2.2,2025,4,2025,3,09,30
2025-08-31,56824905,56824908,Federal Communications Commission ,null,null,null,-0.01,-0.01,-0.01,6b,9,9,7037,D,SG,4,1.2.2.1,2025,4,2025,3,08,31
2025-08-31,56824905,56824911,National Archives and Records Administration,null,null,null,0.50,0.50,0.50,6b,10,10,7040,D,SG,4,1.2.2.2,2025,4,2025,3,08,31
