Record Date,Parent ID,Classification ID,Classification Description,Current Month Budget Amount,Current Fiscal Year to Date Budget Amount,Prior Fiscal Year to Date Budget Amount,Current Year Budget Estimate Amount,Next Year Budget Estimate Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57117973,57117980,On-Budget Surplus (+) or Deficit (-),230396067627.37,-1627486700338.27,-1756361468333.34,-1780214.00,-1480004.00,2,9,9,90,D,SL,3,1.3.1,2025,4,2025,3,09,30
2025-09-30,57117973,57117988,Off-Budget Surplus (+) or Deficit (-),-32446437265.21,-147870580395.60,-60428731294.87,-97435.00,-121349.00,2,10,10,100,D,SL,3,1.3.2,2025,4,2025,3,09,30
2025-09-30,57117922,57117996,Total On-Budget and Off-Budget Financing,-197949630362.16,1775357280733.87,1816790199628.21,1877649.00,1601353.00,2,11,11,110,T,SL,2,1.4,2025,4,2025,3,09,30
2025-09-30,null,57118005,Means of Financing:,null,null,null,null,null,2,12,12,120,S,SL,1,2,2025,4,2025,3,09,30
2025-09-30,57118005,57118013,Borrowing from the Public,309492305876.62,1973088794553.01,1959809451328.12,1901128.00,1695149.00,2,13,13,130,D,SL,2,2.1,2025,4,2025,3,09,30
2025-09-30,57118005,57118020,"Reduction of Operating Cash, Increase (-)",-335601134759.25,-5099671715.67,-228836065771.59,0.00,0.00,2,14,14,140,D,SL,2,2.2,2025,4,2025,3,09,30
2025-09-30,57118005,57118027,By Other Means,-171840801479.53,-192631842103.47,85831072071.68,-23479.00,-93796.00,2,15,15,150,D,SL,2,2.3,2025,4,2025,3,09,30
2025-09-30,null,57117922,Total On-Budget and Off-Budget Results:,null,null,null,null,null,2,1,1,10,S,SL,1,1,2025,4,2025,3,09,30
2025-09-30,57117922,57117928,Total Receipts,543662987461.22,5234616386315.43,4918105525514.85,5561646.00,6011381.00,2,2,2,20,T,SL,2,1.1,2025,4,2025,3,09,30
2025-09-30,57117928,57117935,On-Budget Receipts,443534036493.58,3950880751188.17,3658222794157.97,4255251.00,4644964.00,2,3,3,30,D,SL,3,1.1.1,2025,4,2025,3,09,30
