Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57118146,57118173,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2025,4,2025,3,09,30
2025-09-30,null,57118291,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),-197949630362.16,1775357280733.87,1816804457628.21,25754661806886.70,27727968717982.70,27530019087620.60,6,49,49,9661,T,GL,1,5,2025,4,2025,3,09,30
2025-09-30,null,57118204,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2025,4,2025,3,09,30
2025-09-30,null,57118288,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),1657839526.23,13918117286.49,4410887038.38,0.00,12260277760.26,13918117286.49,6,48,48,9624,D,GL,1,4,2025,4,2025,3,09,30
2025-09-30,57118204,57118207,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2025,4,2025,3,09,30
2025-09-30,57118204,57118280,Miscellaneous Asset Accounts,205044017.53,30949397.29,-90535110.00,13297911.54,-160796708.70,44247308.83,6,45,45,9561,D,GL,2,2.5,2025,4,2025,3,09,30
2025-09-30,null,57118143,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2025,4,2025,3,09,30
2025-09-30,57118149,57118156,Total Treasury Securities Outstanding,363287577028.28,2172879565766.73,2297339884445.42,35464674000000.00,37274266000000.00,37637552595557.63,6,6,6,9036,T,GL,4,1.1.1.3,2025,4,2025,3,09,30
2025-09-30,57118143,57118201,Total Liability Accounts,315712099894.73,2003261135359.26,1994496326943.18,28561274646648.67,30248823682113.23,30564535782007.94,6,21,21,9361,T,GL,2,1.6,2025,4,2025,3,09,30
2025-09-30,57118207,57118210,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2025,4,2025,3,09,30
2025-09-30,57118226,57118230,Total Holdings,296961533.37,1836885489.97,10837216627.72,172895025840.23,174434949796.83,174731911330.20,6,28,28,9505,D,GL,4,2.1.2.1,2025,4,2025,3,09,30
2025-09-30,57118226,57118233,SDR Certificates Issued to Federal Reserve Banks,0.00,-5000000000.00,-5000000000.00,-10200000000.00,-15200000000.00,-15200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2025,4,2025,3,09,30
