Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57119602,57119655,Department of Education:,null,null,null,null,null,null,6e,24,24,5500,S,C,2,1.4,2025,4,2025,3,09,30
2025-09-30,57119779,57119948,"Net Activity, Direct Loan Financing",150926811284.64,66272112043.95,-231456721308.12,1296772448483.31,1212117749242.62,1363044560527.26,6e,180,180,7640,T,FI,2,2.18,2025,4,2025,3,09,30
2025-09-30,57119679,57119683,Community Planning and Development:,null,null,null,null,null,null,6e,38,38,5720,S,B,3,1.7.2,2025,4,2025,3,09,30
2025-09-30,57119779,57119780,Department of Agriculture:,null,null,null,null,null,null,6e,80,80,6300,S,C,2,2.1,2025,4,2025,3,09,30
2025-09-30,57119780,57119806,Rural Utilities Service:,null,null,null,null,null,null,6e,94,94,6630,S,B,3,2.1.4,2025,4,2025,3,09,30
2025-09-30,57119779,57119840,Department of Health and Human Services:,null,null,null,null,null,null,6e,118,118,6773,S,C,2,2.6,2025,4,2025,3,09,30
2025-09-30,57119870,57119884,Maritime Administration:,null,null,null,null,null,null,6e,142,142,13092,S,B,3,2.11.3,2025,4,2025,3,09,30
2025-09-30,57119901,57119905,Transitional Housing Loans,-198127.68,4646.24,4487.06,-678267.83,-475493.91,-673621.59,6e,157,157,7370,D,P,4,2.13.1.3,2025,4,2025,3,09,30
2025-09-30,57119779,57119936,Small Business Administration:,null,null,null,null,null,null,6e,173,173,7440,S,C,2,2.16,2025,4,2025,3,09,30
2025-09-30,57119943,57119944,Spectrum Auction Loan Fund,-5342.28,-16082.09,-14326.43,-61030.40,-71770.21,-77112.49,6e,179,179,7580,D,P,4,2.17.2.1,2025,4,2025,3,09,30
2025-09-30,57119603,57119605,Office of the Secretary:,null,null,null,null,null,null,6e,3,3,14650,S,B,3,1.1.1,2025,4,2025,3,09,30
2025-09-30,57119749,57119750,Ukraine Export Credit Insurance Fund,null,null,null,-266573524.36,-266573524.36,-266573524.36,6e,64,64,6011,D,P,4,1.12.2.1,2025,4,2025,3,09,30
2025-09-30,57119779,57119835,Department of Energy:,null,null,null,null,null,null,6e,115,115,6768,S,C,2,2.5,2025,4,2025,3,09,30
2025-09-30,57119779,57119863,Department of the Interior:,null,null,null,null,null,null,6e,129,129,6880,S,C,2,2.9,2025,4,2025,3,09,30
2025-09-30,57119940,57119942,Export-Import Bank of the United States,-64567279.28,-1154398850.43,-1102460062.23,4803920844.19,3714089273.04,3649521993.76,6e,177,177,7540,D,A,3,2.17.1,2025,4,2025,3,09,30
2025-09-30,57119940,57119943,Federal Communications Commission:,null,null,null,null,null,null,6e,178,178,7560,S,A,3,2.17.2,2025,4,2025,3,09,30
2025-09-30,null,57119602,Guaranteed Loan Financing Activity:,null,null,null,null,null,null,6e,1,1,5000,S,FI,1,1,2025,4,2025,3,09,30
2025-09-30,57119602,57119679,Department of Housing and Urban Development:,null,null,null,null,null,null,6e,34,34,5660,S,C,2,1.7,2025,4,2025,3,09,30
2025-09-30,57119780,57119798,Rural Business - Cooperative Service:,null,null,null,null,null,null,6e,89,89,6580,S,B,3,2.1.3,2025,4,2025,3,09,30
2025-09-30,57119806,57119811,Distance Learning and Telemedicine Program,83028992.07,120724140.14,61006968.46,549768694.86,587463842.93,670492835.00,6e,98,98,6635,D,P,4,2.1.4.4,2025,4,2025,3,09,30
2025-09-30,57119847,57119848,Disaster Assistance Loan Fund,-2449184.66,-62300048.14,-36553703.00,-125644932.92,-185495796.40,-187944981.06,6e,122,122,6793,D,P,3,2.7.1,2025,4,2025,3,09,30
2025-09-30,57119887,57119888,Departmental Offices:,null,null,null,null,null,null,6e,145,145,7200,S,B,3,2.12.1,2025,4,2025,3,09,30
2025-09-30,57119901,57119904,Native American Veteran Housing Fund,3226730.16,2694903.18,7805141.86,70697874.56,70166047.58,73392777.74,6e,156,156,7360,D,P,4,2.13.1.2,2025,4,2025,3,09,30
2025-09-30,57119901,57119906,Vocational Rehabilitation Loan Fund,46356.81,26557.98,39813.78,285465.73,265666.90,312023.71,6e,158,158,7380,D,P,4,2.13.1.4,2025,4,2025,3,09,30
2025-09-30,57119914,57119932,United States International Development Finance Corporation,243525110.72,338671683.43,1649269557.16,7830752848.96,7925899421.67,8169424532.39,6e,171,171,14463,D,B,3,2.15.5,2025,4,2025,3,09,30
2025-09-30,57119932,57119933,International Debt Reduction,-26453458.69,-94443934.06,-98055617.69,-265967830.51,-333958305.88,-360411764.57,6e,172,172,14464,D,P,4,2.15.5.1,2025,4,2025,3,09,30
2025-09-30,57119936,57119937,Business Loan Fund,-967209.69,-46330730.08,-36704776.02,110557009.49,65193489.10,64226279.41,6e,174,174,7460,D,P,3,2.16.1,2025,4,2025,3,09,30
2025-09-30,57119936,57119939,Disaster Loan Fund,2350427031.05,-17169137431.01,-50860684505.75,246852057152.07,227332492690.01,229682919721.06,6e,175,175,7480,D,P,3,2.16.2,2025,4,2025,3,09,30
2025-09-30,57119779,57119940,Independent Agencies:,null,null,null,null,null,null,6e,176,176,7500,S,C,2,2.17,2025,4,2025,3,09,30
2025-09-30,57119603,57119635,Rural Utilities Service:,null,null,null,null,null,null,6e,17,17,5415,S,B,3,1.1.6,2025,4,2025,3,09,30
2025-09-30,57119602,57119664,Department of Energy:,null,null,null,null,null,null,6e,27,27,5560,S,C,2,1.5,2025,4,2025,3,09,30
2025-09-30,57119602,57119778,"Net Activity, Guaranteed Loan Financing",-3159164670.87,-3713401444.99,4921071771.06,21769184366.06,21214947591.94,18055782921.07,6e,78,78,6100,T,FI,2,1.15,2025,4,2025,3,09,30
2025-09-30,57119835,57119837,Title 17 Innovative Technology Loans,75204599.32,3000337716.24,-231443708.55,15293780709.39,18218913826.31,18294118425.63,6e,117,117,6771,D,P,3,2.5.2,2025,4,2025,3,09,30
2025-09-30,57119868,57119869,Repatriation Loans,3283998.20,1816330.25,1228651.60,-131085.10,-1598753.05,1685245.15,6e,135,135,7000,D,P,4,2.10.1.1,2025,4,2025,3,09,30
2025-09-30,57119779,57119887,Department of the Treasury:,null,null,null,null,null,null,6e,144,144,7180,S,C,2,2.12,2025,4,2025,3,09,30
2025-09-30,57119901,57119902,Veterans Housing Benefit Program Fund,481321113.19,8890089853.79,-739659526.96,-415316316.85,7993452423.75,8474773536.94,6e,155,155,7300,D,P,4,2.13.1.1,2025,4,2025,3,09,30
2025-09-30,57119888,57119898,ESF - Economic Stabilization Program,14253790.28,-2755194391.62,-9574940325.17,5126460281.69,2357012099.79,2371265890.07,6e,151,151,14509,D,P,4,2.12.1.6,2025,4,2025,3,09,30
2025-09-30,57119887,57119899,Bureau of the Fiscal Service,null,null,null,-494052.35,-494052.35,-494052.35,6e,152,152,7238,D,B,3,2.12.2,2025,4,2025,3,09,30
2025-09-30,57119779,57119900,Department of Veterans Affairs:,null,null,null,null,null,null,6e,153,153,7260,S,C,2,2.13,2025,4,2025,3,09,30
2025-09-30,57119900,57119901,Veterans Benefits Administration:,null,null,null,null,null,null,6e,154,154,7280,S,P,3,2.13.1,2025,4,2025,3,09,30
2025-09-30,57119779,57119914,International Assistance Programs:,null,null,null,null,null,null,6e,161,161,7431,S,C,2,2.15,2025,4,2025,3,09,30
2025-09-30,57119914,57119915,International Security Assistance:,null,null,null,null,null,null,6e,162,162,7432,S,B,3,2.15.1,2025,4,2025,3,09,30
2025-09-30,57119915,57119916,Foreign Military Loan Program,27706905.02,-9316427.34,-528236331.22,-50769060.73,-87792393.09,-60085488.07,6e,163,163,7433,D,P,4,2.15.1.1,2025,4,2025,3,09,30
2025-09-30,57119915,57119917,Military Debt Reduction,391604.53,-41191150.47,775983.94,40915773.81,-666981.19,-275376.66,6e,164,164,7434,D,P,4,2.15.1.2,2025,4,2025,3,09,30
2025-09-30,57119914,57119919,Agency for International Development:,null,null,null,null,null,null,6e,165,165,7435,S,B,3,2.15.2,2025,4,2025,3,09,30
2025-09-30,57119919,57119921,International Debt Reduction,null,null,null,-171944531.09,-171944531.09,-171944531.09,6e,166,166,7436,D,P,4,2.15.2.1,2025,4,2025,3,09,30
2025-09-30,57119919,57119925,Development Credit Authority Loan Fund,7555795.25,505830552.10,192042729.00,275041315.68,773316072.53,780871867.78,6e,167,167,13132,D,P,4,2.15.2.2,2025,4,2025,3,09,30
2025-09-30,57119919,57119929,Sovereign Credit Direct Loan Financing Account,141477859.94,19606232722.94,null,null,19464754863.00,19606232722.94,6e,168,168,14817,D,P,4,2.15.2.3,2025,4,2025,3,09,30
2025-09-30,57119914,57119930,Overseas Private Investment Corporation,null,null,null,2901584438.81,2901584438.81,2901584438.81,6e,169,169,7438,D,B,3,2.15.3,2025,4,2025,3,09,30
2025-09-30,57119914,57119931,International Monetary Programs,149762096.83,4892335773.90,null,-277745475.23,4464828201.84,4614590298.67,6e,170,170,7439,D,B,3,2.15.4,2025,4,2025,3,09,30
2025-09-30,57119779,57119909,Environmental Protection Agency:,null,null,null,null,null,null,6e,159,159,7400,S,C,2,2.14,2025,4,2025,3,09,30
2025-09-30,57119909,57119911,Water Infrastructure Finance and Innovation Loan Program,254257732.76,-696237012.20,2967689948.01,5903474053.34,4952979308.38,5207237041.14,6e,160,160,14413,D,P,3,2.14.1,2025,4,2025,3,09,30
2025-09-30,57119602,57119603,Department of Agriculture:,null,null,null,null,null,null,6e,2,2,5200,S,C,2,1.1,2025,4,2025,3,09,30
2025-09-30,57119647,57119651,General Administration:,null,null,null,null,null,null,6e,21,21,5450,S,P,3,1.2.1,2025,4,2025,3,09,30
2025-09-30,57119867,57119868,Administration of Foreign Affairs:,null,null,null,null,null,null,6e,134,134,6980,S,B,3,2.10.1,2025,4,2025,3,09,30
2025-09-30,57119888,57119897,Small Business Lending Program,708767.69,2357964.19,-139295704.39,-107495613.02,-105846416.52,-105137648.83,6e,150,150,7237,D,P,4,2.12.1.5,2025,4,2025,3,09,30
2025-09-30,57119603,57119608,Farm Service Agency:,null,null,null,null,null,null,6e,5,5,5220,S,B,3,1.1.2,2025,4,2025,3,09,30
2025-09-30,57119683,57119684,Community Development Loans,-40054.38,915085.53,2645526.36,-2318175.71,-1363035.80,-1403090.18,6e,39,39,5740,D,P,4,1.7.2.1,2025,4,2025,3,09,30
2025-09-30,57119602,57119730,Department of Veterans Affairs:,null,null,null,null,null,null,6e,58,58,5940,S,C,2,1.11,2025,4,2025,3,09,30
2025-09-30,57119602,57119770,Independent Agencies:,null,null,null,null,null,null,6e,76,76,6060,S,C,2,1.14,2025,4,2025,3,09,30
2025-09-30,57119806,57119810,Rural Telephone Bank,-4968570.16,-6689473.76,-12118725.34,42090235.45,40369331.85,35400761.69,6e,97,97,6634,D,P,4,2.1.4.3,2025,4,2025,3,09,30
2025-09-30,57119779,57119870,Department of Transportation:,null,null,null,null,null,null,6e,136,136,7020,S,C,2,2.11,2025,4,2025,3,09,30
2025-09-30,57119870,57119874,Federal Highway Administration:,null,null,null,null,null,null,6e,137,137,7080,S,B,3,2.11.1,2025,4,2025,3,09,30
2025-09-30,57119874,57119875,Transportation Infrastructure Finance and Innovation Fund,592068525.76,5585317952.53,-457203132.41,16269844240.10,21263093666.87,21855162192.63,6e,138,138,7095,D,P,4,2.11.1.1,2025,4,2025,3,09,30
2025-09-30,57119874,57119876,Tiger Tifia Loan Fund,2100051.25,-618646.51,-544835.91,60214228.97,57495531.21,59595582.46,6e,139,139,7097,D,P,4,2.11.1.2,2025,4,2025,3,09,30
2025-09-30,57119870,57119880,Federal Railroad Administration:,null,null,null,null,null,null,6e,140,140,7120,S,B,3,2.11.2,2025,4,2025,3,09,30
2025-09-30,57119880,57119882,Railroad Rehabilitation and Improvement Loan Fund,33987615.12,567457672.01,592556148.51,1985186653.56,2518656710.45,2552644325.57,6e,141,141,7140,D,P,4,2.11.2.1,2025,4,2025,3,09,30
2025-09-30,57119884,57119886,Maritime Guaranteed Loan (Title XI) FFB Financing Account,-2817679.42,-14763183.11,-10527838.00,313850451.58,301904947.89,299087268.47,6e,143,143,14411,D,P,4,2.11.3.1,2025,4,2025,3,09,30
2025-09-30,57119888,57119890,Community Development Financial Institutions Fund,-18689525.83,160042045.41,81557367.41,1414749677.64,1593481248.88,1574791723.05,6e,146,146,7220,D,P,4,2.12.1.1,2025,4,2025,3,09,30
2025-09-30,57119888,57119891,GSE Mortgage-Backed Securities Purchase Program,null,null,null,4613368199.00,4613368199.00,4613368199.00,6e,147,147,7225,D,P,4,2.12.1.2,2025,4,2025,3,09,30
2025-09-30,57119888,57119893,Temporary Credit and Liquidity Program,35436653.48,-23678398.39,-61351749.76,899499201.06,840384149.19,875820802.67,6e,148,148,7233,D,P,4,2.12.1.3,2025,4,2025,3,09,30
2025-09-30,57119605,57119606,Food Supply Chain and Agriculture Pandemic Response,-179826.58,34334034.08,-4248754.44,-28026428.05,6487432.61,6307606.03,6e,4,4,14651,D,P,4,1.1.1.1,2025,4,2025,3,09,30
2025-09-30,57119608,57119609,Commodity Credit Corporation Export Fund,1050850.79,-27523221.63,-18099078.70,26728448.25,-1845624.17,-794773.38,6e,6,6,5240,D,P,4,1.1.2.1,2025,4,2025,3,09,30
2025-09-30,57119608,57119611,Agricultural Credit Insurance Fund,1955355.90,399046924.56,-12717212.00,-197459243.80,199632324.86,201587680.76,6e,7,7,5260,D,P,4,1.1.2.2,2025,4,2025,3,09,30
2025-09-30,57119603,57119619,Natural Resources Conservation Service:,null,null,null,null,null,null,6e,8,8,5280,S,B,3,1.1.3,2025,4,2025,3,09,30
2025-09-30,57119619,57119620,Agricultural Resource Conservation Demonstration Program,null,null,null,-329.31,-329.31,-329.31,6e,9,9,5300,D,P,4,1.1.3.1,2025,4,2025,3,09,30
2025-09-30,57119603,57119621,Rural Housing Service:,null,null,null,null,null,null,6e,10,10,5320,S,B,3,1.1.4,2025,4,2025,3,09,30
2025-09-30,57119602,57119647,Department of Commerce:,null,null,null,null,null,null,6e,20,20,5420,S,C,2,1.2,2025,4,2025,3,09,30
2025-09-30,57119602,57119766,Small Business Administration:,null,null,null,null,null,null,6e,74,74,6035,S,C,2,1.13,2025,4,2025,3,09,30
2025-09-30,57119835,57119836,Advanced Technology Vehicles Manufacturing Loans,103914936.59,8992359611.50,131804273.25,662474366.51,9550919041.42,9654833978.01,6e,116,116,6769,D,P,3,2.5.1,2025,4,2025,3,09,30
2025-09-30,57119840,57119845,Consumer Operated and Oriented Plan,-67191860.22,-96940933.44,67942427.42,63220986.67,33471913.45,-33719946.77,6e,119,119,6777,D,P,3,2.6.1,2025,4,2025,3,09,30
2025-09-30,57119840,57119846,Consumer Operated and Oriented Plan Program Contingency Fund,-2850001.89,-37194119.49,3828718.53,49301831.84,14957714.24,12107712.35,6e,120,120,6779,D,P,3,2.6.2,2025,4,2025,3,09,30
2025-09-30,57119779,57119847,Department of Homeland Security:,null,null,null,null,null,null,6e,121,121,6790,S,C,2,2.7,2025,4,2025,3,09,30
2025-09-30,57119779,57119849,Department of Housing and Urban Development:,null,null,null,null,null,null,6e,123,123,6800,S,C,2,2.8,2025,4,2025,3,09,30
2025-09-30,57119849,57119855,Housing Programs:,null,null,null,null,null,null,6e,124,124,6820,S,B,3,2.8.1,2025,4,2025,3,09,30
2025-09-30,57119855,57119856,Emergency Homeowners' Relief Fund,31733.48,2449361.55,-2325137.10,-145809.82,2271818.25,2303551.73,6e,125,125,6830,D,P,4,2.8.1.1,2025,4,2025,3,09,30
2025-09-30,57119855,57119857,FHA-Mutual Mortgage Insurance Loans,244.85,244.85,238.95,9979.05,9979.05,10223.90,6e,126,126,6840,D,P,4,2.8.1.2,2025,4,2025,3,09,30
2025-09-30,57119855,57119858,FHA-General and Special Risk Fund,296116148.92,570201554.96,473024530.85,3192862990.62,3466948396.66,3763064545.58,6e,127,127,6860,D,P,4,2.8.1.3,2025,4,2025,3,09,30
2025-09-30,57119855,57119860,Green Retrofit Program for Multifamily Housing Fund,1214854.37,14290662.07,2818387.93,12328178.60,25403986.30,26618840.67,6e,128,128,6870,D,P,4,2.8.1.4,2025,4,2025,3,09,30
2025-09-30,57119863,57119864,Bureau of Reclamation,1322627.70,-1439746.35,-1375255.52,23910871.16,21148497.11,22471124.81,6e,130,130,6920,D,B,3,2.9.1,2025,4,2025,3,09,30
2025-09-30,57119621,57119622,Rural Community Facility Loans,-168789.54,-4948092.29,1792306.96,919468.97,-3859833.78,-4028623.32,6e,11,11,5340,D,P,4,1.1.4.1,2025,4,2025,3,09,30
2025-09-30,57119603,57119627,Rural Business - Cooperative Service:,null,null,null,null,null,null,6e,13,13,5380,S,B,3,1.1.5,2025,4,2025,3,09,30
2025-09-30,57119700,57119714,Maritime Administration:,null,null,null,null,null,null,6e,51,51,5918,S,B,3,1.9.2,2025,4,2025,3,09,30
2025-09-30,57119749,57119757,Tunisia Loan Fund,19227873.27,19227873.27,-4825816.05,-613823930.73,-613823930.73,-594596057.46,6e,69,69,6017,D,P,4,1.12.2.6,2025,4,2025,3,09,30
2025-09-30,null,57119779,Direct Loan Financing Activity:,null,null,null,null,null,null,6e,79,79,6120,S,FI,1,2,2025,4,2025,3,09,30
2025-09-30,57119798,57119804,Rural Microenterprise Investment Loans,383153.65,-186861.97,-857777.31,37408816.54,36838800.92,37221954.57,6e,93,93,6625,D,P,4,2.1.3.4,2025,4,2025,3,09,30
2025-09-30,57119779,57119867,Department of State:,null,null,null,null,null,null,6e,133,133,6960,S,C,2,2.10,2025,4,2025,3,09,30
2025-09-30,57119888,57119895,Troubled Asset Relief Program,-163.15,21806.59,85503.07,-28280.53,-6310.79,-6473.94,6e,149,149,7235,D,P,4,2.12.1.4,2025,4,2025,3,09,30
2025-09-30,57119830,57119834,Temporary Student Loan Purchase Authority,582700040.46,-58978494.33,-7836281398.85,23989662169.14,23347983634.35,23930683674.81,6e,114,114,6767,D,P,4,2.4.2.3,2025,4,2025,3,09,30
2025-09-30,57119863,57119865,Bureau of Indian Affairs and Bureau of Indian Education,28387.05,13764.88,32620.57,-30748.36,-45370.53,-16983.48,6e,131,131,6940,D,B,3,2.9.2,2025,4,2025,3,09,30
2025-09-30,57119863,57119866,Assistance to American Samoa Loan Fund,298984.90,-398737.95,-412815.79,5771067.43,5073344.58,5372329.48,6e,132,132,6945,D,P,3,2.9.3,2025,4,2025,3,09,30
2025-09-30,57119621,57119624,Rural Housing Insurance Fund,10918723.98,-556118700.70,403133986.27,2425222362.12,1858184937.44,1869103661.42,6e,12,12,5360,D,P,4,1.1.4.2,2025,4,2025,3,09,30
2025-09-30,57119627,57119628,Rural Business and Industry Loans,1426260.01,141355502.49,219173139.24,29155845.42,169085087.90,170511347.91,6e,14,14,5400,D,P,4,1.1.5.1,2025,4,2025,3,09,30
2025-09-30,57119627,57119632,Renewable Energy Guaranteed Loan Account,184542.23,-3643178.43,28716914.68,19123806.65,15296085.99,15480628.22,6e,15,15,5410,D,P,4,1.1.5.2,2025,4,2025,3,09,30
2025-09-30,57119627,57119634,Biorefinery Assistance Loan Account,932883.42,-69128206.72,9602069.95,90571425.68,20510335.54,21443218.96,6e,16,16,5412,D,P,4,1.1.5.3,2025,4,2025,3,09,30
2025-09-30,57119780,57119783,Farm Service Agency:,null,null,null,null,null,null,6e,81,81,6320,S,B,3,2.1.1,2025,4,2025,3,09,30
2025-09-30,57119806,57119812,Rural Development Insurance Fund,null,null,null,1064621514.68,1064621514.68,1064621514.68,6e,99,99,6636,D,P,4,2.1.4.5,2025,4,2025,3,09,30
2025-09-30,57119780,57119813,Foreign Agricultural Service:,null,null,null,null,null,null,6e,100,100,6640,S,B,3,2.1.5,2025,4,2025,3,09,30
2025-09-30,57119813,57119814,P.L. 480 Direct Loan Fund,7546787.39,-32493645.99,-29723741.18,174080041.63,134039608.25,141586395.64,6e,101,101,6660,D,P,4,2.1.5.1,2025,4,2025,3,09,30
2025-09-30,57119813,57119815,International Debt Reduction,-9330360.82,-57598469.32,-35840960.03,-151291380.74,-199559489.24,-208889850.06,6e,102,102,6680,D,P,4,2.1.5.2,2025,4,2025,3,09,30
2025-09-30,57119779,57119818,Department of Commerce:,null,null,null,null,null,null,6e,103,103,6705,S,C,2,2.2,2025,4,2025,3,09,30
2025-09-30,57119818,57119819,National Oceanic and Atmospheric Administration:,null,null,null,null,null,null,6e,104,104,6708,S,B,3,2.2.1,2025,4,2025,3,09,30
2025-09-30,57119779,57119825,Department of Defense--Military Programs,63532927.96,44410173.78,88606260.75,1993428523.43,1974305769.25,2037838697.21,6e,106,106,6715,D,C,2,2.3,2025,4,2025,3,09,30
2025-09-30,57119779,57119826,Department of Education:,null,null,null,null,null,null,6e,107,107,6720,S,C,2,2.4,2025,4,2025,3,09,30
2025-09-30,57119826,57119827,Office of Postsecondary Education:,null,null,null,null,null,null,6e,108,108,6730,S,B,3,2.4.1,2025,4,2025,3,09,30
2025-09-30,57119827,57119828,College Housing and Academic Facilities Loans,-112239.33,-363087.68,-495017.66,1433858.81,1183010.46,1070771.13,6e,109,109,6735,D,P,4,2.4.1.1,2025,4,2025,3,09,30
2025-09-30,57119827,57119829,Historically Black College and University Capital Financing Fund,10356584.96,364126446.86,168132850.14,473800611.85,827570473.75,837927058.71,6e,110,110,6737,D,P,4,2.4.1.2,2025,4,2025,3,09,30
2025-09-30,57119826,57119830,Office of Student Financial Assistance:,null,null,null,null,null,null,6e,111,111,6740,S,P,3,2.4.2,2025,4,2025,3,09,30
2025-09-30,57119830,57119832,Federal Direct Student Loans,142535259224.04,29030746958.43,-172481366867.90,827555025215.32,714050512949.71,856585772173.75,6e,112,112,6760,D,P,4,2.4.2.1,2025,4,2025,3,09,30
2025-09-30,57119830,57119833,Teach Grant Loans,21452655.24,-19961321.04,-68574733.69,458120527.97,416706551.69,438159206.93,6e,113,113,6765,D,P,4,2.4.2.2,2025,4,2025,3,09,30
2025-09-30,57119635,57119636,Rural Water and Waste Disposal Fund,-34057.57,28497.17,5600.58,-24764862.37,-24702307.63,-24736365.20,6e,18,18,5416,D,P,4,1.1.6.1,2025,4,2025,3,09,30
2025-09-30,57119603,57119646,National Forest System,-242733.54,-2510011.54,null,null,-2267278.00,-2510011.54,6e,19,19,14803,D,P,3,1.1.7,2025,4,2025,3,09,30
2025-09-30,57119651,57119652,"Emergency Oil, Gas, and Steel Account",null,null,null,4797731.68,4797731.68,4797731.68,6e,22,22,5455,D,P,4,1.2.1.1,2025,4,2025,3,09,30
2025-09-30,57119749,57119753,Urban and Environmental Credit Guaranteed Loans,null,null,null,-37693027.53,-37693027.53,-37693027.53,6e,66,66,6013,D,P,4,1.12.2.3,2025,4,2025,3,09,30
2025-09-30,57119749,57119754,Microenterprise and Small Enterprise Development,null,null,null,-1025.45,-1025.45,-1025.45,6e,67,67,6014,D,P,4,1.12.2.4,2025,4,2025,3,09,30
2025-09-30,57119798,57119801,Rural Development Loan Fund,6674171.30,-957333.78,-5611151.51,234810702.85,227179197.77,233853369.07,6e,91,91,6600,D,P,4,2.1.3.2,2025,4,2025,3,09,30
2025-09-30,57119798,57119802,Rural Economic Development Loan Fund,2405396.60,4297628.40,25856084.68,220632176.39,222524408.19,224929804.79,6e,92,92,6620,D,P,4,2.1.3.3,2025,4,2025,3,09,30
2025-09-30,57119806,57119808,Rural Water and Waste Disposal Loans,444410311.81,545858878.76,500078427.43,13609454468.15,13710903035.10,14155313346.91,6e,95,95,6632,D,P,4,2.1.4.1,2025,4,2025,3,09,30
2025-09-30,57119806,57119809,Rural Electrification and Telecommunications Fund,896578886.78,4202597815.90,3548838258.65,61239429572.29,64545448501.41,65442027388.19,6e,96,96,6633,D,P,4,2.1.4.2,2025,4,2025,3,09,30
2025-09-30,57119819,57119820,Fisheries Finance,124470791.11,101674745.98,14832298.01,339867527.29,317071482.16,441542273.27,6e,105,105,6710,D,P,4,2.2.1.1,2025,4,2025,3,09,30
2025-09-30,57119602,57119654,Department of Defense--Military Programs,-580293.42,3211670.36,3565716.54,-28182594.44,-24390630.66,-24970924.08,6e,23,23,5490,D,C,2,1.3,2025,4,2025,3,09,30
2025-09-30,57119655,57119659,Office of Student Financial Assistance:,null,null,null,null,null,null,6e,25,25,5520,S,P,3,1.4.1,2025,4,2025,3,09,30
2025-09-30,57119659,57119660,Federal Family Education Loans,526502909.91,5081325164.80,-7483070132.12,-19318927179.83,-14764104924.94,-14237602015.03,6e,26,26,5540,D,P,4,1.4.1.1,2025,4,2025,3,09,30
