Record Date,Parent ID,Classification ID,Classification Description,October Receipts and Outlays Amount,November Receipts and Outlays Amount,December Receipts and Outlays Amount,January Receipts and Outlays Amount,February Receipts and Outlays Amount,March Receipts and Outlays Amount,April Receipts and Outlays Amount,May Receipts and Outlays Amount,June Receipts and Outlays Amount,July Receipts and Outlays Amount,August Receipts and Outlays Amount,September Receipts and Outlays Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57119993,57119996,Department of Agriculture:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,21,21,280,S,C,2,2.3,2025,4,2025,3,09,30
2025-09-30,57120014,57120022,Other,-49165045367.18,-53311005583.71,-56218815044.00,-66395511539.68,-54405781976.96,-57484673553.12,-75579360668.42,-54949263306.09,-69775916703.63,-59996808094.34,-62342474697.63,-64084587730.41,-723709244265.17,-631988467829.74,7,47,47,570,D,P,3,2.8.4,2025,4,2025,3,09,30
2025-09-30,57119993,57120025,Department of the Interior,1529984547.17,2429551734.53,1765756500.85,2635800194.21,1549950269.89,1886489380.09,1007440961.94,1204384153.39,2028130257.26,1381253724.46,1502183529.97,3481182321.43,22402107575.19,17085408390.77,7,50,50,680,D,C,2,2.11,2025,4,2025,3,09,30
2025-09-30,57120001,57120010,Other,-333059687.71,302410481.04,-146958518.10,-155723642.17,-130671608.62,-338755326.72,-235287123.25,63675907.13,-313047319.93,26119211.39,-179297773.55,-438206717.92,-1878802118.41,-2174048607.60,7,35,35,395,D,P,3,2.5.9,2025,4,2025,3,09,30
2025-09-30,57119993,57120046,General Services Administration,311748969.89,-203783910.78,51037689.54,50246197.99,-519796756.69,256611738.01,6508711.23,-22434550.73,-175426360.58,289112175.20,-287267517.94,-131101884.79,-374545499.65,-244132984.52,7,70,70,820,D,C,2,2.22,2025,4,2025,3,09,30
2025-09-30,57119993,57120047,International Assistance Programs:,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,71,71,825,S,C,2,2.23,2025,4,2025,3,09,30
2025-09-30,57120014,57120021,Administration for Children and Families,6341278066.91,6255379533.76,6101570043.23,6816103390.33,6367280737.29,6192396710.11,5732281665.38,6526621427.98,5441274005.69,6891363489.57,6018163241.68,6992557563.37,75676269875.30,82238128470.50,7,46,46,560,D,B,3,2.8.3,2025,4,2025,3,09,30
2025-09-30,57119993,57120023,Department of Homeland Security,9706927151.60,9551577918.59,12141301639.17,9734939833.84,10273400357.92,7309599029.05,10707996086.41,9404166582.58,9284608291.69,6816284716.89,9589205710.79,10785555956.20,115305563274.73,89290216220.96,7,48,48,600,D,C,2,2.9,2025,4,2025,3,09,30
2025-09-30,57119993,57120024,Department of Housing and Urban Development,5515127809.83,5837083248.28,6308430225.50,4749288587.31,6022425962.00,6435228748.92,5799691964.49,5860167315.78,7143520358.90,-13356841899.58,5882786459.63,4335968335.62,50532877116.68,51976383408.32,7,49,49,670,D,C,2,2.10,2025,4,2025,3,09,30
2025-09-30,57119976,57119977,Individual Income Taxes,168034836042.96,138454500310.65,211690870034.82,305134643530.82,135400117627.88,185097795331.42,537032714907.69,142325462963.74,236167732428.22,145148350551.34,153144281154.54,298413142391.55,2656044447275.63,2426066988325.89,7,2,2,20,D,RSG,2,1.1,2025,4,2025,3,09,30
2025-09-30,57119976,57119978,Corporation Income Taxes,12871728054.19,9337659788.27,87271521497.34,24436108069.83,9865937468.37,17816492072.40,93632073559.92,42955225755.90,68086435432.83,20834781891.63,2505750182.20,62475589646.90,452089303419.78,529866802637.57,7,3,3,30,D,RSG,2,1.2,2025,4,2025,3,09,30
