Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57120133,57120153,Undistributed Offsetting Receipts,-11873110470.64,-150224771558.67,-146737781974.87,9,32,32,330,D,F,2,2.19,2025,4,2025,3,09,30
2025-09-30,57120133,57120154,Total,345713357099.06,7009973667049.30,6734895725143.06,9,33,33,340,T,SL,2,2.20,2025,4,2025,3,09,30
2025-09-30,null,57120121,Receipts,null,null,null,9,1,1,10,S,SL,1,1,2025,4,2025,3,09,30
2025-09-30,57120133,57120151,Net Interest,36900227954.99,970358886994.32,881019516352.72,9,31,31,320,D,F,2,2.18,2025,4,2025,3,09,30
2025-09-30,57120133,57120150,General Government,7178354279.92,36278602219.52,29663364136.20,9,30,30,300,D,F,2,2.17,2025,4,2025,3,09,30
2025-09-30,57120133,57120140,Commerce and Housing Credit,-13566641492.29,-28620513919.81,35568011037.58,9,20,20,200,D,F,2,2.7,2025,4,2025,3,09,30
2025-09-30,57120133,57120141,Transportation,20017141915.53,145804369616.67,137122247910.19,9,21,21,210,D,F,2,2.8,2025,4,2025,3,09,30
2025-09-30,57120133,57120142,Community and Regional Development,6398189786.15,84529870131.32,87766196368.41,9,22,22,220,D,F,2,2.9,2025,4,2025,3,09,30
2025-09-30,57120133,57120143,"Education, Training, Employment, and Social Services",-105861026450.41,69194134949.41,304591069423.43,9,23,23,230,D,F,2,2.10,2025,4,2025,3,09,30
2025-09-30,57120133,57120138,Natural Resources and Environment,6556665846.38,88312257165.92,56890640450.37,9,18,18,180,D,F,2,2.5,2025,4,2025,3,09,30
2025-09-30,57120133,57120139,Agriculture,-736441111.79,49337681356.37,34746670947.90,9,19,19,190,D,F,2,2.6,2025,4,2025,3,09,30
2025-09-30,57120121,57120128,Excise Taxes,12779384419.74,105936465307.63,101435326697.24,9,8,8,80,D,RSG,2,1.4,2025,4,2025,3,09,30
2025-09-30,57120133,57120145,Medicare,31960296860.64,996719243004.76,874134335792.92,9,25,25,250,D,F,2,2.12,2025,4,2025,3,09,30
2025-09-30,57120133,57120146,Income Security,33607425928.48,701583598129.63,671075997542.26,9,26,26,260,D,F,2,2.13,2025,4,2025,3,09,30
2025-09-30,57120133,57120147,Social Security,133363179690.61,1580685783033.83,1460913705752.69,9,27,27,270,D,F,2,2.14,2025,4,2025,3,09,30
2025-09-30,null,57120133,Net Outlays,null,null,null,9,13,13,130,S,SL,1,2,2025,4,2025,3,09,30
