Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-09-30,57117926,57117929,Withheld,165963786088.07,null,null,1919432792058.01,null,null,1766400509561.88,null,null,4,2,2,102,D,SRS,2,1.1,2025,4,2025,3,09,30
2025-09-30,57117926,57117932,Presidential Election Campaign Fund,352002.00,null,null,19731492.00,null,null,21403197.00,null,null,4,3,3,105,D,SRS,2,1.2,2025,4,2025,3,09,30
2025-09-30,57117926,57117936,Other,140878644466.12,null,null,1063859956550.49,null,null,959070921625.37,null,null,4,4,4,110,D,SRS,2,1.3,2025,4,2025,3,09,30
2025-09-30,57117926,57117939,Total -- Individual Income Taxes,306842782556.19,8429640164.64,298413142391.55,2983312480100.50,327268032824.87,2656044447275.63,2725492834384.25,299425846058.36,2426066988325.89,4,5,5,120,T,RSG,2,1.4,2025,4,2025,3,09,30
2025-09-30,null,57117941,Corporation Income Taxes,64998899388.49,2523309741.59,62475589646.90,486362662991.53,34273359571.75,452089303419.78,565036107313.31,35169304675.74,529866802637.57,4,6,6,130,D,RSG,1,2,2025,4,2025,3,09,30
2025-09-30,null,57117944,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2025,4,2025,3,09,30
2025-09-30,57117944,57117948,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2025,4,2025,3,09,30
2025-09-30,57117948,57117951,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2025,4,2025,3,09,30
2025-09-30,null,57117926,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2025,4,2025,3,09,30
2025-09-30,57117979,57117995,Adjustments Attributable to Prior Years-FICA,-1809082138.94,null,-1809082138.94,-388736619.04,null,-388736619.04,3886385576.39,null,3886385576.39,4,18,18,219,D,SRS,4,3.1.2.3,2025,4,2025,3,09,30
2025-09-30,57117951,57117976,Total -- Federal Old-Age and Survivors Insurance Trust Fund,90369811404.70,4775565000.00,85594246404.70,1102157140130.21,4775565000.00,1097381575130.21,1081489621797.64,4505636000.00,1076983985797.64,4,14,14,210,T,RSG,4,3.1.1.5,2025,4,2025,3,09,30
2025-09-30,57117948,57117979,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2025,4,2025,3,09,30
2025-09-30,57117979,57117984,Federal Insurance Contributions Act Taxes,15649000000.00,810945000.00,14838055000.00,177850000000.00,810945000.00,177039055000.00,170020000000.00,765108000.00,169254892000.00,4,16,16,212,D,SRS,4,3.1.2.1,2025,4,2025,3,09,30
2025-09-30,57117979,57117987,Self-Employment Contributions Act Taxes,1506000000.00,null,1506000000.00,9328000000.00,null,9328000000.00,9250000000.00,null,9250000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2025,4,2025,3,09,30
2025-09-30,57117979,57117999,Adjustments Attributable to Prior Years-SECA,-268298.12,null,-268298.12,375741616.09,null,375741616.09,507467982.85,null,507467982.85,4,19,19,14361,D,SRS,4,3.1.2.4,2025,4,2025,3,09,30
2025-09-30,57117979,57118003,Total -- Federal Disability Insurance Trust Fund,15345649562.94,810945000.00,14534704562.94,187165004997.05,810945000.00,186354059997.05,183663853559.24,765108000.00,182898745559.24,4,20,20,220,T,RSG,4,3.1.2.5,2025,4,2025,3,09,30
2025-09-30,57117948,57118008,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2025,4,2025,3,09,30
2025-09-30,57118008,57118011,Federal Insurance Contributions Act Taxes,30880000000.00,null,30880000000.00,368119000000.00,null,368119000000.00,349848000000.00,null,349848000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2025,4,2025,3,09,30
2025-09-30,57118008,57118015,Self-Employment Contributions Act Taxes,4307000000.00,null,4307000000.00,25850000000.00,null,25850000000.00,26497000000.00,null,26497000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2025,4,2025,3,09,30
2025-09-30,57118008,57118018,Receipts from Railroad Retirement Board,null,null,null,686200000.00,null,686200000.00,645200000.00,null,645200000.00,4,24,24,226,D,SRS,4,3.1.3.3,2025,4,2025,3,09,30
2025-09-30,57118008,57118025,Adjustments Attributable to Prior Years-FICA,-3502020075.49,null,-3502020075.49,-1050900112.36,null,-1050900112.36,7204123829.09,null,7204123829.09,4,25,25,228,D,SRS,4,3.1.3.4,2025,4,2025,3,09,30
2025-09-30,57117944,57118045,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,32,32,250,S,RSG,2,3.2,2025,4,2025,3,09,30
2025-09-30,57118096,57118108,Total -- Miscellaneous Receipts,3350453042.82,1297921.45,3349155121.37,47946873130.17,22299743.90,47924573386.27,43172928691.04,16313644.42,43156615046.62,4,54,54,820,T,RSG,2,7.4,2025,4,2025,3,09,30
2025-09-30,null,57118112,Total -- Receipts,561640157176.49,17977169715.27,543662987461.22,5617209162272.22,382592775956.79,5234616386315.43,5264470295464.16,346364769949.31,4918105525514.85,4,55,55,830,T,SL,1,8,2025,4,2025,3,09,30
2025-09-30,57118096,57118102,Universal Service Fund,708855025.42,null,708855025.42,8577989246.44,null,8577989246.44,8375871394.62,null,8375871394.62,4,52,52,807,D,RSG,2,7.2,2025,4,2025,3,09,30
2025-09-30,57118096,57118105,All Other,2195371826.81,1297921.45,2194073905.36,33879167689.64,22299743.90,33856867945.74,31666074824.77,16313644.42,31649761180.35,4,53,53,810,D,RSG,2,7.3,2025,4,2025,3,09,30
2025-09-30,57118112,57118119,Total -- On-Budget,455924696208.85,12390659715.27,443534036493.58,4327887017144.96,377006265956.79,3950880751188.17,3999316820107.28,341094025949.31,3658222794157.97,4,56,56,840,T,SL,2,8.1,2025,4,2025,3,09,30
